id;text;type
1;Σκέψου πριν διαλέξεις. Κάθε μπίρα μετράει!;info
2;Πρόσεξε! Η επόμενη επιλογή ίσως σε στείλει σπίτι.;warning
3;Μεθύστε υπεύθυνα.;fun
4;Αξιοποίησε τη χαμηλή αλκοόλη. Είναι στρατηγικό όπλο.;tip
5;Μια επιλογή μπορεί να κάνει τη διαφορά.;info
6;Τα χάπια δεν είναι πάντα φίλοι... προσοχή!;warning
7;"Τι άλλα νέα;";fun
8;Διάβασε τα ποσοστά. Μην κοιτάς μόνο τις ετικέτες.;tip
9;Η τύχη σε δοκιμάζει. Δείξε χαρακτήρα!;info
10;"Είσαι τσάτσαλα, θα πιεις και άλλο;";warning
11;Κατούρα και λίγο.;fun
12;Αν βλέπεις ίδιες ετικέτες, εκμεταλεύσου το.;tip
13;Έχεις ήδη πιει αρκετά... τώρα θέλει προσοχή.;info
14;Προσοχή! Είσαι κοντά στο όριο.;warning
15;Οι Βέλγικες μπίρες είναι απάτη... δυνατές αλλά ύπουλες.;fun
16;Οι δυνατές μπίρες αυξάνουν τις αντοχές.;tip
17;Πείτε όχι στο παγωμένο ποτήρι;info
18;Η μπάρα γεμίζει. Προσοχή!;warning
19;Χρειάζεσαι μεγαλύτερο ποτήρι!;fun
20;Ελέγξτε την ποσότητα του αλκοόλ στην μπίρα σας.;tip
21;Το ποσοστό σου είναι καλό. Παίξε επιθετικά!;info
22;Πάρε Taxi.;warning
23;Μερικές φορές ένας έξυπνος άνθρωπος αναγκάζεται να μεθύσει για να περάσει την ώρα του με ηλίθιους. Έρνεστ Χέμινγουεϊ;fun
24;Χρησιμοποίησε τη γνώση σου για τις μπίρες. Όχι μόνο το ένστικτο.;tip
25;Οι επιλογές σου δείχνουν χαρακτήρα. Συνέχισε έτσι!;info
26;Αυτή η μπίρα φαίνεται ακίνδυνη. Αλλά πρόσεχε...;warning
27;Η μπίρα είναι απόδειξη ότι ο Θεός μας αγαπάει και θέλει να είμαστε ευτυχισμένοι. — Βενιαμίν Φρανκλίνος;fun
28;Το μυστικό είναι να ξέρεις πότε να ρισκάρεις.;tip
29;Ο δείκτης ανεβαίνει... μείνε ήρεμος.;info
30;Ένα παραπάτημα και το παιχνίδι τελειώνει. Σκέψου καλά.;warning
31;Η μπίρα είναι το καλύτερο ποτό στον κόσμο. — Τζακ Νίκολσον;fun
32;Οι μπίρες με ποσοστό 5% αλκοόλ δεν επιρεάζουν τα όρια των αντοχών σας.;tip
33;Έχεις ακόμα δρόμο. Μη βιάζεσαι να τελειώσεις!;info
34;Την κάτσαμε.;warning
35;"To αλκοόλ είναι αργός θάνατος. Αλλά τι μας νοιάζει; Δεν βιαζόμαστε. - Georges Courteline";fun
36;Μερικές φορές η καλύτερη επιλογή είναι η απρόσμενη.;tip
37;Το ποτήρι σου γεμίζει. Η στρατηγική μετράει τώρα περισσότερο.;info
38;"Πλησιάζεις το τέλος. Αντέχεις;";warning
39;Η Guinness δεν είναι για όλους... αλλά ίσως είναι για σένα.;fun
40;Μην ξεχνάς να απολαμβάνεις το παιχνίδι. Όχι μόνο να το κερδίζεις.;tip
